id,cityId,name,type,description,cost,durationMin,imageId
act_eiffel,city_paris,Eiffel Tower Visit,sightseeing,Skip-the-line summit access with panoramic city views.,28.00,120,img_act_eiffel
act_louvre,city_paris,Louvre Museum,culture,World's largest art museum — home to the Mona Lisa.,17.00,180,img_act_louvre
act_seine,city_paris,Seine River Cruise,sightseeing,1-hour illuminated evening cruise.,15.00,60,
act_colosseum,city_rome,Colosseum & Roman Forum,sightseeing,Guided tour through ancient Rome's most iconic ruins.,22.00,150,img_act_colosseum
act_pasta,city_rome,Roman Pasta Making Class,food,"Learn to make cacio e pepe and carbonara from a local chef.",65.00,180,
act_shibuya,city_tokyo,Shibuya Crossing & Harajuku,sightseeing,World's busiest pedestrian crossing + Takeshita Street.,0.00,120,img_act_shibuya
act_tsukiji,city_tokyo,Tsukiji Outer Market Food Tour,food,Morning street food crawl through Tokyo's legendary fish market.,45.00,150,
act_rice,city_bali,Tegalalang Rice Terrace Trek,adventure,Guided sunrise hike through UNESCO-listed rice paddies.,12.00,180,img_act_ubud
act_yoga,city_bali,Sunrise Yoga & Meditation,wellness,90-minute session overlooking the jungle at a boutique retreat.,18.00,90,
act_liberty,city_nyc,Statue of Liberty & Ellis Island,sightseeing,Ferry + guided tour of Lady Liberty and the immigration museum.,25.00,240,img_act_liberty
act_highline,city_nyc,High Line & Chelsea Market,sightseeing,Self-guided walk on the elevated park + food hall exploration.,0.00,120,img_act_highline
