id,tripId,authorId,stopId,body,createdAt
note_001,trip_001,usr_alice00,stop_001,The hidden gem café on the corner serves the best espresso.,2025-06-24 00:00:00
note_002,trip_002,usr_bob01,stop_002,Book tickets in advance — queues are 2+ hours on weekends.,2025-01-20 00:00:00
note_003,trip_003,usr_carol02,stop_003,The night market starts at 6 PM. Don't miss the local street food!,2025-02-17 00:00:00
note_004,trip_004,usr_dave03,stop_004,Pack light layers — mornings are cold even in summer.,2025-02-14 00:00:00
note_005,trip_005,usr_eve04,stop_005,The local SIM card is cheap and offers great coverage.,2025-05-12 00:00:00
note_006,trip_006,usr_frank05,stop_006,Taxi apps work better than street hails in this city.,2025-01-31 00:00:00
note_007,trip_007,usr_grace06,stop_007,The sunset from the viewpoint is absolutely breathtaking.,2025-04-07 00:00:00
note_008,trip_008,usr_hank07,stop_008,Try the local dish at the restaurant near the old square.,2025-01-11 00:00:00
note_009,trip_009,usr_iris08,stop_009,Museums are free on the first Sunday of each month.,2025-04-20 00:00:00
note_010,trip_010,usr_jack09,stop_010,Watch your belongings in crowded areas — pickpockets are active.,2025-03-13 00:00:00
note_011,trip_011,usr_karen10,stop_011,The train ride between cities is scenic and affordable.,2025-05-23 00:00:00
note_012,trip_012,usr_leo11,stop_012,Book accommodation early — this city fills up fast in peak season.,2025-03-09 00:00:00
note_013,trip_013,usr_mona12,stop_013,The free walking tour from the main plaza is excellent.,2025-02-03 00:00:00
note_014,trip_014,usr_neil13,stop_014,Tap water is safe to drink here.,2025-02-11 00:00:00
note_015,trip_015,usr_olivia14,stop_015,Currency exchange at the airport is terrible — use ATMs in town.,2025-05-30 00:00:00
note_016,trip_016,usr_pete15,stop_016,The beach is gorgeous but crowded; go early morning.,2025-03-07 00:00:00
note_017,trip_017,usr_quinn16,stop_017,Excellent hiking trail starts behind the old monastery.,2025-01-02 00:00:00
note_018,trip_018,usr_rose17,stop_018,Most restaurants don't open for dinner before 8 PM.,2025-03-26 00:00:00
note_019,trip_019,usr_sam18,stop_019,The local festival this week is worth staying an extra night for.,2025-04-30 00:00:00
note_020,trip_020,usr_tara19,stop_020,Public transport is surprisingly efficient and cheap.,2025-02-09 00:00:00
note_021,trip_021,usr_uma20,stop_021,The hostel rooftop has a spectacular city view.,2025-01-11 00:00:00
note_022,trip_022,usr_vince21,stop_022,Try the street cart near the main market for authentic flavors.,2025-02-09 00:00:00
note_023,trip_023,usr_wendy22,stop_023,Visa on arrival is available at the airport for most nationalities.,2025-03-24 00:00:00
note_024,trip_024,usr_xander23,stop_024,The hotel breakfast is included and very good.,2025-06-02 00:00:00
note_025,trip_025,usr_yara24,stop_025,Renting a scooter is the best way to explore the island.,2025-01-14 00:00:00
note_026,trip_026,usr_zoe25,stop_026,The ancient ruins are less crowded in the late afternoon.,2025-06-10 00:00:00
note_027,trip_027,usr_aiden26,stop_027,Bring cash — many small vendors don't accept cards.,2025-06-07 00:00:00
note_028,trip_028,usr_bella27,stop_028,The weather forecast says possible rain this afternoon.,2025-06-19 00:00:00
